fname:stockfish_v_stockfish.txt
white:Stockfish
black:Stockfish
Init_fen:rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1
--
max_time_per_move_white:0.1
max_time_per_move_black:0.1
time_control_white:None
time_control_black:None
draw_time_white:5
draw_time_black:5
trash_talk_time_white:1
trash_talk_time_black:1
--
white t=0.08823084831237793 | move:d2d4
black t=0.09000730514526367 | move:d7d5
white t=0.08899044990539551 | move:g1f3
black t=0.09000492095947266 | move:g8f6
white t=0.08999514579772949 | move:e2e3
black t=0.08953452110290527 | move:e7e6
white t=0.08881497383117676 | move:c2c4
black t=0.08955121040344238 | move:f8e7
white t=0.09203386306762695 | move:f1e2
black t=0.08899521827697754 | move:d5c4
white t=0.08953642845153809 | move:e1g1
black t=0.08807730674743652 | move:e8g8
white t=0.08799386024475098 | move:b1d2
black t=0.08899950981140137 | move:b7b5
white t=0.08900237083435059 | move:a2a4
black t=0.08800268173217773 | move:c7c6
white t=0.09200191497802734 | move:d2b1
black t=0.08801984786987305 | move:c8b7
white t=0.0895683765411377 | move:b2b3
black t=0.09016251564025879 | move:c4b3
white t=0.09100008010864258 | move:a4b5
black t=0.09209656715393066 | move:c6b5
white t=0.0870964527130127 | move:e2b5
black t=0.08700084686279297 | move:a7a6
white t=0.09108567237854004 | move:b5c4
black t=0.0905148983001709 | move:b8c6
white t=0.0901632308959961 | move:b1d2
black t=0.0885310173034668 | move:c6b4
white t=0.08803534507751465 | move:c4b3
black t=0.0870048999786377 | move:a6a5
white t=0.08699798583984375 | move:f3e5
black t=0.08859920501708984 | move:f6d7
white t=0.08984136581420898 | move:d2c4
black t=0.09000110626220703 | move:d7e5
white t=0.08854413032531738 | move:c4e5
black t=0.09053158760070801 | move:e7d6
white t=0.08885669708251953 | move:d1h5
black t=0.09154224395751953 | move:g7g6
white t=0.08900570869445801 | move:h5h3
black t=0.08999156951904297 | move:h7h5
white t=0.09000039100646973 | move:f2f4
black t=0.08756327629089355 | move:g8h7
white t=0.08899545669555664 | move:c1d2
black t=0.09153580665588379 | move:h7g7
white t=0.08956360816955566 | move:f1c1
black t=0.09099006652832031 | move:d6e5
